       5 3166101.506667 3164178.886809 3168024.126525
      10 6304608.913333 6300696.179459 6308521.647207
      15 9456846.226667 9451537.457543 9462154.995790
      20 12620382.583333 12612674.991286 12628090.175380
      25 15789159.806667 15779192.037502 15799127.575831
      30 18950853.716667 18943443.600410 18958263.832923
      35 22108557.830000 22094969.279903 22122146.380097
      40 25281997.360000 25268033.638966 25295961.081034
      45 28437605.193333 28419282.708470 28455927.678197
      50 31613719.756667 31597570.878601 31629868.634733
